Indus ID,Ref. No,District,Survey  Date,Site Category,Tower Type,Existing no Of Poles,Tower  Config,Tower Height,Normal,EB Phase,EB Availability (Hours),A/C-1(TR),Site  type,DG/NonDG,Static DG-Kva,Static  DG-Make,SMPS 1 Make,SMPS Module Capacity(W),No. of BB Connected to the SMPS,Opco Present,Tenancy,Final Telecom Load (in KW)
IN-1093365,RRL,Nagpur,2021-08-01,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,22,NCU,COD,DG,15,Ashok Leyland,Delta,4000,2,VIL Reliance Jio,2,4.3902
IN-1453855,RRL,Ahmednagar,2021-08-02,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.8224
IN-1342314,RRL,Ahmednagar,2021-08-02,OD without DG,GBM,0,Tubular,30,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,VIL,1,2.4661
IN-1632093,RRL,Jalgaon,2021-08-02,OD without DG,GBT,0,Tubular,40,Normal,3,16,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,1.8462
IN-1298639,RRL,Chandrapur,2021-08-02,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,IIPMS Delta,4000,1,VIL Reliance Jio,2,4.1638
IN-1269344,RRL,Ahmednagar,2021-08-03,OD with DG,GBT,0,Angular,40,Normal,3,16,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL Reliance Jio,2,4.8703
IN-1499573,RRL,Beed,2021-08-03,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,0.99552
IN-1093307,RRL,Nagpur,2021-08-03,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,18,NCU,COD,DG,15,Mahindra,NexGen Emerson,4000,2,VIL Reliance Jio,2,4.13984
IN-1055091,RRES,Pune,2021-08-03,OD with DG,RTP,8,Tubular,6 9,Hub,3,22,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,Airtel VIL,2,6.53066
IN-1614249,RRL,Satara,2021-08-03,OD without DG,GBM,0,Tubular,30,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,0.9299
IN-1612371,RRL,Satara,2021-08-03,OD without DG,GBT,0,Tubular,40,Normal,1,21,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,0.77112
