Indus ID,SITE Name,TCU,MCU,Total Nos. GSM,Total Nos.M/w
IN-1093365,MR. RAVINDRA M. BHANDEVALKAR PLOT ,No,No,12,8
IN-1453855,Rahuri,No,No,3,1
IN-1342314,FL09716,No,No,3,1
IN-1632093,Anjansonde,No,No,3,1
IN-1298639,Purti group,No,No,9,2
IN-1269344,Bhingar Army,No,No,12,2
IN-1499573,HOTEL VISHWAJIT,No,No,3,1
IN-1093307,MR.BALKRUSHNA BAKARAM VANJARI PLOT ,No,No,12,3
IN-1055091,UTKRASHBLDG_ODU,Yes,No,15,5
IN-1614249,Nagthane,No,No,3,1
IN-1612371,Koregaon,No,No,3,1
IN-1536193,Kenjal,No,No,3,1
IN-1531535,Data temple,No,No,3,1
IN-1599398,Shrirampur,No,No,3,1
IN-1536364,DP Bhosle College,No,No,3,1
IN-1536262,Nandgiri,No,No,3,1
IN-1632027,Ambawade ,No,No,3,1
IN-1472892,Sindi Meghe,No,No,3,1
IN-1531595,Ralegaon-2,No,No,3,1
IN-1024316,MANDGAON,No,No,16,7
IN-1582825,Narsi Goan,No,No,3,1
IN-1550379,Betmorga,No,No,3,1
IN-1121465,DEGLUR,No,No,18,7
IN-1086257,SUKAPUR_ODMU,No,No,18,4
IN-1317592,Sundarde,No,No,12,2
IN-1531747,Balaji Tower,No,No,3,1
IN-1093509,MR.GOVIND GODER PLOT ,No,No,9,3
IN-1358458,Eiffel City,No,No,12,3
IN-1235431,METHVADE,No,No,12,4
IN-1303189,Goveli,No,No,13,3
IN-1242648,YELGAON,No,No,12,3
IN-1342165,Musalgaon,No,No,3,1
IN-1054660,MTRDSKVISHWA_ODM,No,Yes,10,16
IN-1135167,Awhane Bk,No,No,16,8
IN-1281187,Relocation of Dhorjalgaon She._USO,No,No,6,2
IN-1077756,TAKALI AMBAD,No,No,6,7
IN-1280073,Apegaon,No,No,9,6
IN-1300629,B.Ed COLLEGE_SINDKHEDRAJA,No,No,3,2
IN-1055636,HUTATMACHWK_ODU,No,Yes,14,5
IN-1053560,PIMPALPISA_ODU,No,No,15,11
IN-1052909,NPIMPALBORI_ODU,No,No,13,9
IN-1300565,Site888 (Dakiwali),No,No,3,3
IN-1300561,SITE1545_Dolande,No,No,9,3
IN-1092177,JALGAON(GALANE),No,No,9,4
IN-1092094,JATWADA,No,No,17,2
IN-1280076,TALEGAONJLN_INDS,No,No,14,6
IN-1256814,Rahimabad,No,No,6,1
IN-1285687,Sonegaon Lake,No,No,8,2
IN-1308721,Site1369 KAMTHI COW,No,No,13,2
IN-1092315,Dasgaon Kh.,No,No,6,7
IN-1305453,Akhurli,No,No,3,2
IN-1298261,Dolavali,No,No,10,2
IN-1249821,Bramhangaon,No,No,15,3
IN-1292949,Tarangwadi,No,No,12,3
IN-1077714,VIDGAON,No,No,9,8
IN-1133669,GHAHUKHEDE,No,No,14,5
IN-1282167,Dongargaon,No,No,6,1
IN-1070074,Kattipar,No,No,3,6
IN-1305456,Bagmala Petrol Pump,No,Yes,9,1
IN-1097396,KOKARDA,No,No,16,7
IN-1284145,Palasgaon,No,No,17,3
IN-1092047,Jaitpur,No,No,6,4
IN-1266333,GHOGARGAON,Yes,No,16,5
IN-1330363,Mula SSK,No,No,5,1
IN-1300219,Site1485_Jogeshoweri Akhada,No,No,5,5
IN-1071086,AJMIR_ODU,No,No,16,7
IN-1297960,GONDEGAON,No,No,9,2
IN-1092271,PANDHARABODI,No,No,19,7
IN-1100852,Kurze,No,No,16,11
IN-1301814,Site 1536(Ambaulim),No,No,6,3
IN-1319163,Benolim,No,No,8,2
IN-1297972,Santangar lohagaon wagholo rd,No,No,15,5
IN-1237620,Ponda Keri,No,No,13,5
IN-1370026,Sarnath Nagar,No,No,7,1
IN-1248151,Sonna,No,No,13,5
IN-1286259,Relocation of Bhoiti_USO ,No,No,10,3
IN-1284287,ASNOLI_U,No,No,13,7
IN-1024332,Saralgaon,No,No,3,9
IN-1110574,SALVAN,No,No,11,3
IN-1239441,Dautpur,No,No,6,1
IN-1106030,Aganwadi (Dhamangao Voda),No,No,10,2
IN-1025295,FATIMANGR,No,No,6,1
IN-1580851,Penganga Irrigation colony,No,No,3,1
IN-1246049,SALUMBRE,No,No,12,3
IN-1783537,ChandanNagar_BSC193ESP_2G,No,No,6,1
IN-1297559,Priol Village,No,No,3,2
IN-1253689,SHAHAPUR,No,No,11,3
IN-1326584,Relocation of Islampura (MLGN04),No,No,15,3
IN-1310147,MULLA NGR,No,No,6,2
IN-1377970,Jaysingpur,No,No,5,1
IN-1247401,Marul Tarf / Wajegaon,Yes,No,9,5
IN-1124613,ENPRKAMALCHK1,No,No,4,3
IN-1253700,BHANDEGAON,No,Yes,14,4
IN-1054621,Eltrganjgolai_Idu,No,No,9,13
IN-1070067,BHARJAHANGIR,No,No,15,6
IN-1375745,Pimpalgaon Baswant,No,No,3,1
IN-1387905,Press Colony,No,No,3,1
IN-1367659,RBL bank,No,No,3,1
IN-1321174,Khed,No,No,13,2
IN-1304348,Vanyavihir Bk,No,No,14,3
IN-1271630,ASALOD,No,No,18,5
IN-1253619,SAITANE ,No,No,15,4
IN-1300124,Site785_Dhamangaon,No,No,15,4
IN-1243714,Wai(BAZAR),No,No,7,6
IN-1255660,HIVARA,No,No,13,5
IN-1283459,Karoli(M)_U,No,No,12,7
IN-1300630,Chinoda,No,No,17,6
IN-1071103,AMOLI_ODU,No,No,15,5
IN-1270207,Madgyal,No,No,6,2
IN-1097426,BANEGAON,No,No,12,5
IN-1024183,Corgao,Yes,No,15,5
IN-1283093,Pimpalagaon Fhata,No,No,15,3
IN-1097442,HARSUL,No,No,15,10
IN-1092180,Jiwati,No,No,12,3
IN-1106094,Moha_Parali,No,No,3,1
IN-1288892,Gorhe Khurd,No,No,12,4
IN-1093865,BANKOT,No,No,14,4
IN-1231731,DHANORA,No,No,11,6
IN-1024395,DEOLI,No,No,36,14
IN-1118357,PARWA,No,No,3,2
IN-1092117,Kotha,Yes,No,17,11
IN-1092127,AKOLA BAJAR,No,No,13,11
IN-1300976,Site242_Aronda NEW,No,No,3,1
IN-1366835,Swati Complex   Bhavani Nagar,No,No,6,1
IN-1024172,KELAPUR,No,No,10,5
IN-1366129,Said Amin Road,No,No,4,1
IN-1365854,Amanora Neo Tower (Tower 94),No,No,6,1
IN-1382916,Balghare,No,No,3,1
IN-1254014,Peth Pimpalgaon,No,No,18,4
IN-1123791,KOCHARGAON,No,No,12,2
IN-1258371,Khumbargaon,No,No,3,2
IN-1263259,Khopoli,No,No,8,1
IN-1378206,Samta Nagar,No,No,4,1
IN-1390891,Kavde Nagar,No,No,3,1
IN-1350063,SINDHI_COLONY,No,No,3,1
IN-1382694,Agroya Nagar,No,No,3,1
IN-1302463,Bank Colony Latur city,No,No,13,5
IN-1349681,New Arvi naka,No,No,4,1
IN-1374925,Ganesh Nagar,No,No,6,1
IN-1091698,Pulgaon Camp Road,Yes,No,15,4
IN-1270457,Force Engeeniring,No,Yes*4,20,22
IN-1355110,Shivaji Nagar- Aurang,No,No,7,1
IN-1338352,Relocation Anand Nagar,No,No,6,1
IN-1055314,Vaibhav_Idu,Yes,No,12,11
IN-1498779,Wadwani,No,No,3,1
IN-1499066,Sambhaji Nagar,No,No,3,1
IN-1093311,MR.GANESH V. NINAVE PLOT ,No,No,19,7
IN-1093967,Washibe,No,No,26,6
IN-1099313,VADGAON BK,No,No,13,7
IN-1069981,ASTAPUR,No,No,3,2
IN-1071176,Baj_Odf,No,No,8,6
IN-1591742,Niwaga,No,No,3,1
IN-1255171,Ankhali,No,No,15,5
IN-1301573,Site958,No,No,7,3
IN-1091912,WADIBHOKAR RD,No,No,13,3
IN-1252261,chitod road,No,Yes,22,7
IN-1270706,Khamgaon_2,No,No,15,4
IN-1054767,SUYDOG_ODU,Yes,Yes,13,7
IN-1054406,VITHAINIWAS_IDU,No,No,6,8
